index,title_x,media type,show/trilogy,season,episode number,runtime,date watched,my rating,id,show_id,title_y,show_name,release_date,tmdb_rating,processed_rating,cast,actors,genres,character_names,overview,ai_plot_summary,manual_review
1,Lost/Found,TV,The Acolyte,1,1,0:41:00,1/18,2.5,2553141.0,114479.0,Lost / Found,The Acolyte,2024-06-04,5.474,2.737,"[{'name': 'Amandla Stenberg', 'character': ""Mae-ho 'Mae' Aniseya / Verosha 'Osha' Aniseya"", 'gender': 'Nonbinary'}, {'name': 'Lee Jung-jae', 'character': 'Master Sol', 'gender': 'Male'}, {'name': 'Anthony J. Abraham', 'character': 'Fillik', 'gender': 'Male'}, {'name': 'Danielle Xin Yao Waterman', 'character': 'Youngling', 'gender': 'Unknown'}, {'name': 'Sienna Khiroya', 'character': 'Youngling', 'gender': 'Unknown'}, {'name': 'Jeramiah Evans', 'character': 'Youngling', 'gender': 'Unknown'}, {'name': 'Dan Milne', 'character': 'Restrained Convict', 'gender': 'Male'}, {'name': 'Thomas Coombes', 'character': 'Convict', 'gender': 'Male'}, {'name': 'Leah Brady', 'character': 'Little Mae', 'gender': 'Female'}, {'name': 'Carrie-Anne Moss', 'character': 'Master Indara', 'gender': 'Female'}, {'name': 'Jodie Turner-Smith', 'character': 'Mother Aniseya', 'gender': 'Female'}, {'name': 'Charlie Barnett', 'character': 'Yord Fandar', 'gender': 'Male'}, {'name': 'Dafne Keen', 'character': 'Jecki Lon', 'gender': 'Female'}, {'name': 'Lauren Brady', 'character': 'Little Osha', 'gender': 'Female'}, {'name': 'Rebecca Henderson', 'character': 'Master Vernestra Rwoh', 'gender': 'Female'}, {'name': 'Thara Schöön', 'character': 'Tasi Lowa', 'gender': 'Female'}]","['Amandla Stenberg', 'Lee Jung-jae', 'Anthony J. Abraham', 'Danielle Xin Yao Waterman', 'Sienna Khiroya', 'Jeramiah Evans', 'Dan Milne', 'Thomas Coombes', 'Leah Brady', 'Carrie-Anne Moss', 'Jodie Turner-Smith', 'Charlie Barnett', 'Dafne Keen', 'Lauren Brady', 'Rebecca Henderson', 'Thara Schöön']","['Mystery', 'Sci-Fi & Fantasy']","[""Mae-ho 'Mae' Aniseya / Verosha 'Osha' Aniseya"", 'Master Sol', 'Fillik', 'Youngling', 'Youngling', 'Youngling', 'Restrained Convict', 'Convict', 'Little Mae', 'Master Indara', 'Mother Aniseya', 'Yord Fandar', 'Jecki Lon', 'Little Osha', 'Master Vernestra Rwoh', 'Tasi Lowa']",The Jedi pursue a suspect after a shocking crime.,,
2,Revenge/Justice,TV,The Acolyte,1,2,0:36:00,1/24,2.5,5220947.0,114479.0,Revenge / Justice,The Acolyte,2024-06-04,5.121,2.5605,"[{'name': 'Amandla Stenberg', 'character': ""Mae-ho 'Mae' Aniseya / Verosha 'Osha' Aniseya"", 'gender': 'Nonbinary'}, {'name': 'Lee Jung-jae', 'character': 'Master Sol', 'gender': 'Male'}, {'name': 'Leah Brady', 'character': 'Little Mae', 'gender': 'Female'}, {'name': 'Archie Singh Swali', 'character': 'Olega Urchin', 'gender': 'Female'}, {'name': 'Nick Court', 'character': 'Olega Master', 'gender': 'Male'}, {'name': 'Ed Kear', 'character': 'Olega Padawan', 'gender': 'Male'}, {'name': 'Jumayn Hunter', 'character': 'Scavenger', 'gender': 'Male'}, {'name': 'Scroobius Pip', 'character': 'Scavenger', 'gender': 'Male'}, {'name': 'Dean-Charles Chapman', 'character': 'Master Torbin', 'gender': 'Male'}, {'name': 'Joonas Suotamo', 'character': 'Kelnacca', 'gender': 'Male'}, {'name': 'Charlie Barnett', 'character': 'Yord Fandar', 'gender': 'Male'}, {'name': 'Dafne Keen', 'character': 'Jecki Lon', 'gender': 'Female'}, {'name': 'Manny Jacinto', 'character': 'Qimir', 'gender': 'Male'}, {'name': 'Rebecca Henderson', 'character': 'Master Vernestra Rwoh', 'gender': 'Female'}]","['Amandla Stenberg', 'Lee Jung-jae', 'Leah Brady', 'Archie Singh Swali', 'Nick Court', 'Ed Kear', 'Jumayn Hunter', 'Scroobius Pip', 'Dean-Charles Chapman', 'Joonas Suotamo', 'Charlie Barnett', 'Dafne Keen', 'Manny Jacinto', 'Rebecca Henderson']","['Mystery', 'Sci-Fi & Fantasy']","[""Mae-ho 'Mae' Aniseya / Verosha 'Osha' Aniseya"", 'Master Sol', 'Little Mae', 'Olega Urchin', 'Olega Master', 'Olega Padawan', 'Scavenger', 'Scavenger', 'Master Torbin', 'Kelnacca', 'Yord Fandar', 'Jecki Lon', 'Qimir', 'Master Vernestra Rwoh']","An assassin strikes again, but this time the Jedi are there to attempt capture.",,
3,Destiny,TV,The Acolyte,1,3,0:42:00,1/24,1.5,5220954.0,114479.0,Destiny,The Acolyte,2024-06-11,4.063,2.0315,"[{'name': 'Amandla Stenberg', 'character': ""Mae-ho 'Mae' Aniseya / Verosha 'Osha' Aniseya"", 'gender': 'Nonbinary'}, {'name': 'Lee Jung-jae', 'character': 'Master Sol', 'gender': 'Male'}, {'name': 'Leah Brady', 'character': 'Little Mae', 'gender': 'Female'}, {'name': 'Carrie-Anne Moss', 'character': 'Master Indara', 'gender': 'Female'}, {'name': 'Jodie Turner-Smith', 'character': 'Mother Aniseya', 'gender': 'Female'}, {'name': 'Joonas Suotamo', 'character': 'Kelnacca', 'gender': 'Male'}, {'name': 'Abigail Thorn', 'character': 'Ensign Eurus', 'gender': 'Female'}, {'name': 'Margarita Levieva', 'character': 'Mother Koril', 'gender': 'Female'}, {'name': 'Amy Tsang', 'character': 'Ensign Rane', 'gender': 'Female'}, {'name': 'Saskia Allen', 'character': 'Scout Sarria', 'gender': 'Female'}, {'name': 'Deborah Rosan', 'character': 'Ensign Shima', 'gender': 'Female'}, {'name': 'Tabitha Alege', 'character': 'Elder Jaalyn', 'gender': 'Unknown'}, {'name': 'Lauren Brady', 'character': 'Little Osha', 'gender': 'Female'}, {'name': 'Dean-Charles Chapman', 'character': 'Torbin', 'gender': 'Male'}]","['Amandla Stenberg', 'Lee Jung-jae', 'Leah Brady', 'Carrie-Anne Moss', 'Jodie Turner-Smith', 'Joonas Suotamo', 'Abigail Thorn', 'Margarita Levieva', 'Amy Tsang', 'Saskia Allen', 'Deborah Rosan', 'Tabitha Alege', 'Lauren Brady', 'Dean-Charles Chapman']","['Mystery', 'Sci-Fi & Fantasy']","[""Mae-ho 'Mae' Aniseya / Verosha 'Osha' Aniseya"", 'Master Sol', 'Little Mae', 'Master Indara', 'Mother Aniseya', 'Kelnacca', 'Ensign Eurus', 'Mother Koril', 'Ensign Rane', 'Scout Sarria', 'Ensign Shima', 'Elder Jaalyn', 'Little Osha', 'Torbin']","On a mysterious planet, the tragic journey of two sisters begins.",,
4,Day,TV,The Acolyte,1,4,0:32:00,1/25,2.0,5220955.0,114479.0,Day,The Acolyte,2024-06-18,4.451,2.2255,"[{'name': 'Amandla Stenberg', 'character': ""Mae-ho 'Mae' Aniseya / Verosha 'Osha' Aniseya"", 'gender': 'Nonbinary'}, {'name': 'Lee Jung-jae', 'character': 'Master Sol', 'gender': 'Male'}, {'name': 'Joonas Suotamo', 'character': 'Kelnacca', 'gender': 'Male'}, {'name': 'Charlie Barnett', 'character': 'Yord Fandar', 'gender': 'Male'}, {'name': 'Dafne Keen', 'character': 'Jecki Lon', 'gender': 'Female'}, {'name': 'Paul Bullion', 'character': 'Master Lakshay', 'gender': 'Male'}, {'name': 'Indra Ové', 'character': 'Master Holden', 'gender': 'Female'}, {'name': 'Derek Arnold', 'character': 'Master Ki-Adi-Mundi', 'gender': 'Unknown'}, {'name': 'Lewis Young', 'character': 'Jedi Knight', 'gender': 'Male'}, {'name': 'Manny Jacinto', 'character': 'Qimir', 'gender': 'Male'}, {'name': 'Rebecca Henderson', 'character': 'Master Vernestra Rwoh', 'gender': 'Female'}]","['Amandla Stenberg', 'Lee Jung-jae', 'Joonas Suotamo', 'Charlie Barnett', 'Dafne Keen', 'Paul Bullion', 'Indra Ové', 'Derek Arnold', 'Lewis Young', 'Manny Jacinto', 'Rebecca Henderson']","['Mystery', 'Sci-Fi & Fantasy']","[""Mae-ho 'Mae' Aniseya / Verosha 'Osha' Aniseya"", 'Master Sol', 'Kelnacca', 'Yord Fandar', 'Jecki Lon', 'Master Lakshay', 'Master Holden', 'Master Ki-Adi-Mundi', 'Jedi Knight', 'Qimir', 'Master Vernestra Rwoh']","Racing to the next target, the Jedi head to a new world as they close in on the clever assassin.",,
5,Night,TV,The Acolyte,1,5,0:35:00,1/25,3.5,5220956.0,114479.0,Night,The Acolyte,2024-06-25,5.135,2.5675,"[{'name': 'Amandla Stenberg', 'character': ""Mae-ho 'Mae' Aniseya / Verosha 'Osha' Aniseya"", 'gender': 'Nonbinary'}, {'name': 'Lee Jung-jae', 'character': 'Master Sol', 'gender': 'Male'}, {'name': 'Joonas Suotamo', 'character': 'Kelnacca', 'gender': 'Male'}, {'name': 'Charlie Barnett', 'character': 'Yord Fandar', 'gender': 'Male'}, {'name': 'Dafne Keen', 'character': 'Jecki Lon', 'gender': 'Female'}, {'name': 'Manny Jacinto', 'character': 'Qimir', 'gender': 'Male'}]","['Amandla Stenberg', 'Lee Jung-jae', 'Joonas Suotamo', 'Charlie Barnett', 'Dafne Keen', 'Manny Jacinto']","['Mystery', 'Sci-Fi & Fantasy']","[""Mae-ho 'Mae' Aniseya / Verosha 'Osha' Aniseya"", 'Master Sol', 'Kelnacca', 'Yord Fandar', 'Jecki Lon', 'Qimir']","In a dense jungle, the Jedi are put to the test when they confront a rising darkness.",,
6,Teach/Corrupt,TV,The Acolyte,1,6,0:39:00,1/26,2.5,5220957.0,114479.0,Teach / Corrupt,The Acolyte,2024-07-02,4.133,2.0665,"[{'name': 'Amandla Stenberg', 'character': ""Mae-ho 'Mae' Aniseya / Verosha 'Osha' Aniseya"", 'gender': 'Nonbinary'}, {'name': 'Lee Jung-jae', 'character': 'Master Sol', 'gender': 'Male'}, {'name': 'Charlie Barnett', 'character': 'Yord Fandar', 'gender': 'Male'}, {'name': 'Dafne Keen', 'character': 'Jecki Lon', 'gender': 'Female'}, {'name': 'Manny Jacinto', 'character': 'Qimir', 'gender': 'Male'}, {'name': 'Rebecca Henderson', 'character': 'Master Vernestra Rwoh', 'gender': 'Female'}, {'name': 'Harry Trevaldwyn', 'character': 'Mog Adana', 'gender': 'Male'}]","['Amandla Stenberg', 'Lee Jung-jae', 'Charlie Barnett', 'Dafne Keen', 'Manny Jacinto', 'Rebecca Henderson', 'Harry Trevaldwyn']","['Mystery', 'Sci-Fi & Fantasy']","[""Mae-ho 'Mae' Aniseya / Verosha 'Osha' Aniseya"", 'Master Sol', 'Yord Fandar', 'Jecki Lon', 'Qimir', 'Master Vernestra Rwoh', 'Mog Adana']","On a distant island, unsettling questions about identity and destiny arise.",,
7,Choice,TV,The Acolyte,1,7,0:44:00,1/28,3.0,5220958.0,114479.0,Choice,The Acolyte,2024-07-09,4.3,2.15,"[{'name': 'Amandla Stenberg', 'character': ""Mae-ho 'Mae' Aniseya / Verosha 'Osha' Aniseya"", 'gender': 'Nonbinary'}, {'name': 'Lee Jung-jae', 'character': 'Master Sol', 'gender': 'Male'}, {'name': 'Leah Brady', 'character': 'Little Mae', 'gender': 'Female'}, {'name': 'Carrie-Anne Moss', 'character': 'Master Indara', 'gender': 'Female'}, {'name': 'Jodie Turner-Smith', 'character': 'Mother Aniseya', 'gender': 'Female'}, {'name': 'Joonas Suotamo', 'character': 'Kelnacca', 'gender': 'Male'}, {'name': 'Abigail Thorn', 'character': 'Ensign Eurus', 'gender': 'Female'}, {'name': 'Margarita Levieva', 'character': 'Mother Koril', 'gender': 'Female'}, {'name': 'Amy Tsang', 'character': 'Ensign Rane', 'gender': 'Female'}, {'name': 'Saskia Allen', 'character': 'Scout Sarria', 'gender': 'Female'}, {'name': 'Deborah Rosan', 'character': 'Ensign Shima', 'gender': 'Female'}, {'name': 'Tabitha Alege', 'character': 'Elder Jaalyn', 'gender': 'Unknown'}, {'name': 'Lauren Brady', 'character': 'Little Osha', 'gender': 'Female'}, {'name': 'Dean-Charles Chapman', 'character': 'Torbin', 'gender': 'Male'}]","['Amandla Stenberg', 'Lee Jung-jae', 'Leah Brady', 'Carrie-Anne Moss', 'Jodie Turner-Smith', 'Joonas Suotamo', 'Abigail Thorn', 'Margarita Levieva', 'Amy Tsang', 'Saskia Allen', 'Deborah Rosan', 'Tabitha Alege', 'Lauren Brady', 'Dean-Charles Chapman']","['Mystery', 'Sci-Fi & Fantasy']","[""Mae-ho 'Mae' Aniseya / Verosha 'Osha' Aniseya"", 'Master Sol', 'Little Mae', 'Master Indara', 'Mother Aniseya', 'Kelnacca', 'Ensign Eurus', 'Mother Koril', 'Ensign Rane', 'Scout Sarria', 'Ensign Shima', 'Elder Jaalyn', 'Little Osha', 'Torbin']",A bitter truth is revealed.,,
8,The Acolyte,TV,The Acolyte,1,8,0:49:00,1/29,3.0,5220959.0,114479.0,The Acolyte,The Acolyte,2024-07-16,4.486,2.243,"[{'name': 'Amandla Stenberg', 'character': ""Mae-ho 'Mae' Aniseya / Verosha 'Osha' Aniseya"", 'gender': 'Nonbinary'}, {'name': 'Lee Jung-jae', 'character': 'Master Sol', 'gender': 'Male'}, {'name': 'Manny Jacinto', 'character': 'Qimir', 'gender': 'Male'}, {'name': 'Rebecca Henderson', 'character': 'Master Vernestra Rwoh', 'gender': 'Female'}, {'name': 'Harry Trevaldwyn', 'character': 'Mog Adana', 'gender': 'Male'}, {'name': 'David Harewood', 'character': 'Senator Rayencourt', 'gender': 'Male'}]","['Amandla Stenberg', 'Lee Jung-jae', 'Manny Jacinto', 'Rebecca Henderson', 'Harry Trevaldwyn', 'David Harewood']","['Mystery', 'Sci-Fi & Fantasy']","[""Mae-ho 'Mae' Aniseya / Verosha 'Osha' Aniseya"", 'Master Sol', 'Qimir', 'Master Vernestra Rwoh', 'Mog Adana', 'Senator Rayencourt']",Confrontation and revelation await.,,
9,Justice,TV,Tales of the Jedi,1,2,0:16:00,1/29,3.5,3947845.0,203085.0,Justice,Star Wars: Tales of the Jedi,2022-10-26,7.5,3.75,"[{'name': 'Micheál Richardson', 'character': 'Qui-Gon Jinn (voice)', 'gender': 'Male'}, {'name': 'Mark Rolston', 'character': 'Senator Dagonet (voice)', 'gender': 'Male'}, {'name': 'Josh Keaton', 'character': ""Senator's Son (voice)"", 'gender': 'Male'}, {'name': 'Vanessa Marshall', 'character': 'Village Elder (voice)', 'gender': 'Female'}, {'name': 'Corey Burton', 'character': 'Armed Villager / Dooku (voice)', 'gender': 'Male'}]","['Micheál Richardson', 'Mark Rolston', 'Josh Keaton', 'Vanessa Marshall', 'Corey Burton']","['Animation', 'Sci-Fi & Fantasy', 'Action & Adventure']","['Qui-Gon Jinn (voice)', 'Senator Dagonet (voice)', ""Senator's Son (voice)"", 'Village Elder (voice)', 'Armed Villager / Dooku (voice)']",Two Jedi are dispatched to resolve a hostage situation on a distant planet.,,
10,Choices,TV,Tales of the Jedi,1,3,0:16:00,1/29,3.5,3947849.0,203085.0,Choices,Star Wars: Tales of the Jedi,2022-10-26,7.5,3.75,"[{'name': 'Andrew Kishino', 'character': 'Guard / Hanel (voice)', 'gender': 'Male'}, {'name': 'Brian George', 'character': 'Ki-Adi-Mundi (voice)', 'gender': 'Male'}, {'name': ""Terrence 'T.C.' Carson"", 'character': 'Mace Windu (voice)', 'gender': 'Male'}, {'name': 'Terrell Tilford', 'character': 'Semage (voice)', 'gender': 'Male'}, {'name': 'Theo Rossi', 'character': 'Senator Larik (voice)', 'gender': 'Male'}, {'name': 'Corey Burton', 'character': 'Dooku (voice)', 'gender': 'Male'}]","['Andrew Kishino', 'Brian George', ""Terrence 'T.C.' Carson"", 'Terrell Tilford', 'Theo Rossi', 'Corey Burton']","['Animation', 'Sci-Fi & Fantasy', 'Action & Adventure']","['Guard / Hanel (voice)', 'Ki-Adi-Mundi (voice)', 'Mace Windu (voice)', 'Semage (voice)', 'Senator Larik (voice)', 'Dooku (voice)']",Jedi Knights investigate the mysterious death of one of their own.,,
11,Life and Death,TV,Tales of the Jedi,1,1,0:19:00,1/30,2.5,3947794.0,203085.0,Life and Death,Star Wars: Tales of the Jedi,2022-10-26,6.5,3.25,"[{'name': 'Toks Olagundoye', 'character': 'Gantika (voice)', 'gender': 'Female'}, {'name': 'Sunil Malhotra', 'character': 'Nak-il (voice)', 'gender': 'Male'}, {'name': 'Janina Gavankar', 'character': 'Pav-ti (voice)', 'gender': 'Female'}, {'name': 'Noshir Dalal', 'character': 'Villager (voice)', 'gender': 'Male'}]","['Toks Olagundoye', 'Sunil Malhotra', 'Janina Gavankar', 'Noshir Dalal']","['Animation', 'Sci-Fi & Fantasy', 'Action & Adventure']","['Gantika (voice)', 'Nak-il (voice)', 'Pav-ti (voice)', 'Villager (voice)']",A child goes through a rite of passage with unexpected results.,,
